game_id,total_incercari,cuvant_gasit,status,secventa_incercari
49,17,NEOFORMAȚIUNII,OK,a e i l t n u c s ă m d p g b f ț
50,13,PEGMATITUL,OK,a e i r l o t n u c s ă m
51,18,PLUTUIEȘTE,OK,a i r l o n u c s ă m d p g b f ț ș
52,20,CINTEZII,OK,a r l o t n u c s ă m d p g b f ț ș v z
53,16,FOLFĂIESC,OK,a e r l t n u c s ă m d p g b f
54,14,OTORINOLARINGOLOGELOR,OK,a e r o t n u c s ă m d p g
55,20,ESTETIZANTEI,OK,i r l o t n u c s ă m d p g b f ț ș v z
56,21,BALAOACHEȘĂ,OK,a e i r l o t n u c s m d p g f ț ș v z h
57,17,NOTĂRIȚĂ,OK,a e i r l t n u c s m d p g b f ț
58,17,DULEȚI,OK,a e i r o t n u c s ă m p g b f ț
59,25,RICKETTSIOZEI,OK,a i r l o t n u c ă m d p g b f ț ș v z h â î j k
60,4,CIREȘE,OK,a e i r
61,20,ZGĂRDAT,OK,a e i r l o t n u c s m p g b f ț ș v z
62,17,PREȚIOASELOR,OK,a e i r t n u c s ă m d p g b f ț
63,24,DIMPREJUR,OK,a e i l o t n u c s ă m p g b f ț ș v z h â î j
64,15,BULBUCAT,OK,a e i r o n u c s ă m d p g b
65,11,ARIERDUNĂ,OK,a e i r l o t u c s ă
66,16,FLACIDEI,OK,a e r l o t n u s ă m d p g b f
67,19,CONVENȚIONALI,OK,a e i r o t n u c s ă m d p g b f ș v
68,10,CUCONIȚĂ,OK,a e i r l o t n u c
69,8,NELINIȘTITORULUI,OK,a e i r l o t u
70,21,BIHINDISIRILE,OK,a e i l o t n u c s ă m d p g f ț ș v z h
71,23,ÎMPLINIREA,OK,a e i r o t u c s ă m d p g b f ț ș v z h â î
72,22,INSTIGÂND,OK,a e r l o t n u c ă m d p g b f ț ș v z h â
73,7,RECENTE,OK,a e i l o t n
74,15,EMBLEMĂ,OK,a i r l o t n u c s m d p g b
75,11,SINGURAȘUL,OK,a e i r l o t n u c s
76,15,SUBSECRETARULUI,OK,a i r l o n u c s ă m d p g b
77,20,DEVITALIZASERĂM,OK,a i r l o t n u c s m d p g b f ț ș v z
78,20,SUBAPRECIEZ,OK,a e l o t n u c s ă m d p g b f ț ș v z
79,9,CLASATULUI,OK,a e i r o t n u s
80,16,FARAONICUL,OK,a e i l o t u c s ă m d p g b f
81,23,ÎNROLĂRILOR,OK,a e i l t n u c s ă m d p g b f ț ș v z h â î
82,20,PRIMEZIU,OK,a e i l o t n c s ă m d p g b f ț ș v z
83,8,CRUCIATULUI,OK,e i r l o t n u
84,14,PRODIGATELE,OK,a e i r l t n u c s ă m d g
85,19,VINA,OK,e i r l o t u c s ă m d p g b f ț ș v
86,12,CIFRARĂM,OK,a e i l o t n u c s ă m
87,23,ÎNFRUNTASEM,OK,a e i r l o t n u c ă d p g b f ț ș v z h â î
88,19,VIOȘELI,OK,a e i r l t n u c s ă m d p g b f ț v
89,18,AMUȘISERĂȚI,OK,a e i r l o t n u c s m d p g b f ș
90,16,TELEGRAFIARĂ,OK,a i l o t n u c s ă m d p g b f
91,9,CITRONADELE,OK,e i r l o t n u c
92,21,BASCHETBALIȘTILOR,OK,a e i l o t n u c ă m d p g b f ț ș v z h
93,10,SEPTICUL,OK,a e i r o t n u c s
94,19,VENENO,OK,a e i r l t u c s ă m d p g b f ț ș v
95,14,GUDRONĂM,OK,a e i r l t n u c s m d p g
96,12,CORDENCIULUI,OK,a e i l o t n u s ă m d
97,18,STROPȘIRE,OK,a e i r l o n u c ă m d p g b f ț ș
98,10,FOILETONIST,OK,a e r l o t n u c s
99,13,PLICISERĂ,OK,a e i r l o t n u c m d p
100,21,ACHITAT,OK,e i r l o n u c s ă m d p g b f ț ș v z h
